,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
1883,Spokane,32356.0,Central Valley School District,5003.0,School to Life,S,12th Grade,40,18,0,22,0,1,1,3,0,2,33,0,0,0,2,27,0,0,3,0,38,40,35,40,38,13,40
1904,Spokane,32356.0,Central Valley School District,5278.0,Spokane Valley Tech Skills Center,V,12th Grade,11,1,0,10,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11,10,11,11,11,11
1908,Spokane,32356.0,Central Valley School District,5542.0,Stem Academy at SVT,P,12th Grade,14,5,0,9,0,1,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,14,14,14,14,10,14
1939,Spokane,32356.0,Central Valley School District,3415.0,University High School,P,12th Grade,418,194,0,224,9,6,10,4,3,27,359,2,0,103,22,175,0,0,8,0,58,416,413,315,396,243,418
1945,Lewis,21401.0,Centralia School District,2166.0,Centralia High School,P,12th Grade,244,124,0,120,3,1,6,72,0,5,157,11,0,8,17,143,3,4,23,9,36,233,241,236,227,101,241
1967,Lewis,21401.0,Centralia School District,5359.0,Futurus High School,A,12th Grade,28,17,0,11,0,0,2,10,0,2,13,0,0,0,7,22,1,0,9,0,2,28,28,28,21,6,27
1989,Lewis,21302.0,Chehalis School District,2027.0,Green Hill Academic School,I,12th Grade,65,0,0,65,0,2,9,21,2,13,18,12,0,0,0,25,0,0,29,1,33,53,59,65,65,40,65
1998,Lewis,21302.0,Chehalis School District,5369.0,Lewis County Alternative School,A,12th Grade,27,13,0,14,0,0,0,9,0,1,17,2,0,0,1,17,2,0,10,0,5,25,27,27,26,10,25
2006,Lewis,21302.0,Chehalis School District,1559.0,Lewis County Juvenile Detention,J,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
2017,Lewis,21302.0,Chehalis School District,2799.0,W F West High School,P,12th Grade,231,118,0,113,0,6,1,34,0,12,178,4,0,12,16,82,3,2,9,13,36,227,228,219,215,149,228
2032,Spokane,32360.0,Cheney School District,3610.0,Cheney High School,P,12th Grade,278,131,0,147,1,8,1,24,3,16,225,4,0,38,7,117,0,7,14,6,25,274,276,240,271,161,278
2040,Spokane,32360.0,Cheney School District,5396.0,Cheney Open Doors,R,12th Grade,8,6,0,2,1,0,0,1,0,0,6,0,0,0,0,4,0,0,4,0,0,8,8,8,8,4,8
2081,Spokane,32360.0,Cheney School District,1769.0,Three Springs High School,A,12th Grade,11,7,0,4,0,0,0,1,0,0,10,0,0,2,3,7,0,0,2,2,0,11,11,9,8,4,11
2098,Stevens,33036.0,Chewelah School District,5523.0,Chewelah Open Doors Reengagement Program,R,12th Grade,5,1,0,4,0,0,0,0,0,1,4,0,0,0,0,4,0,0,2,0,0,5,5,5,5,1,5
2111,Stevens,33036.0,Chewelah School District,2404.0,Jenkins Junior/Senior High,P,12th Grade,55,25,0,30,0,0,0,2,0,1,52,0,0,0,5,27,0,0,1,11,6,55,55,55,50,28,55
2118,Stevens,33036.0,Chewelah School District,1763.0,Quartzite Learning,A,12th Grade,16,7,1,8,0,0,0,0,0,1,15,0,0,0,2,8,0,0,4,0,0,16,16,16,14,8,16
