,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
3587,Spokane,32801.0,ESD 101 acting as a school district,5434.0,NEWESD 101 Open Doors,R,12th Grade,141,62,0,79,8,0,7,18,0,7,101,0,0,0,1,5,0,0,83,0,0,141,139,141,140,136,141
3591,Spokane,32801.0,ESD 101 acting as a school district,3526.0,Spokane Juvenile Detention School,J,12th Grade,9,2,0,7,1,0,1,0,1,0,6,0,0,0,0,4,0,0,9,0,0,9,8,9,9,5,9
3596,Spokane,32801.0,ESD 101 acting as a school district,3507.0,Structural Alt Confinement School,A,12th Grade,9,2,0,7,0,0,1,1,0,1,6,0,0,0,0,5,0,0,6,0,0,9,9,9,9,4,9
3601,Clark,6801.0,ESD 112 acting as a school district,5290.0,Clark County Juvenile Detention School,J,12th Grade,6,0,0,6,0,0,0,1,0,1,4,0,0,0,0,0,0,0,6,0,0,6,6,6,6,6,6
3607,Clark,6801.0,ESD 112 acting as a school district,3294.0,Cowlitz County Youth Services Center,J,12th Grade,8,3,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,8,8,8,8,8,8
3613,Clark,6801.0,ESD 112 acting as a school district,5398.0,ESD 112 Open Doors Reengagement,R,12th Grade,123,51,1,71,1,1,3,22,3,12,81,0,0,0,0,0,0,2,54,0,0,123,119,123,123,123,123
3617,Thurston,34801.0,ESD 113 acting as a school district,5305.0,ESD 113 Consortium Reengagement Program,R,12th Grade,320,151,0,169,23,4,11,42,3,17,220,0,0,0,69,0,0,3,152,0,0,320,313,320,251,320,320
3620,Kitsap,18801.0,ESD 114 acting as a school district,3143.0,Clallam Co Juvenile Detention,J,12th Grade,4,1,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,1,4,4,4,4,0,4
3624,Kitsap,18801.0,ESD 114 acting as a school district,3481.0,Kitsap Co Detention Ctr,J,12th Grade,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,2,2,2,2,0,2
3628,Skagit,29801.0,ESD 189 acting as a school district,5501.0,Open Doors - Youth Reengagement Program,R,12th Grade,18,6,0,12,0,0,0,3,0,0,15,0,0,0,0,0,0,1,7,0,0,18,18,18,18,18,18
3632,Skagit,29801.0,ESD 189 acting as a school district,3363.0,Skagit County Detention Center,J,12th Grade,5,2,0,3,0,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,0,5,5,5,5,5,3
3636,Skagit,29801.0,ESD 189 acting as a school district,3420.0,Whatcom Co Detention Center,J,12th Grade,3,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3,3,3,3,3
3651,Snohomish,31002.0,Everett School District,3407.0,Cascade High School,P,12th Grade,444,195,0,249,4,72,17,83,8,21,239,36,0,18,17,110,1,0,17,34,72,408,444,426,427,334,443
3676,Snohomish,31002.0,Everett School District,2126.0,Everett High School,P,12th Grade,341,171,0,170,2,31,14,62,8,16,208,31,0,9,26,64,1,0,31,21,61,310,339,332,315,277,340
3681,Snohomish,31002.0,Everett School District,5330.0,Everett Reengagement Academy,R,12th Grade,60,28,0,32,0,4,3,15,0,4,34,2,0,0,6,28,0,0,20,4,9,58,60,60,54,32,60
3720,Snohomish,31002.0,Everett School District,4438.0,Henry M. Jackson High School,P,12th Grade,544,276,0,268,3,124,21,63,0,37,296,25,0,50,14,50,0,0,16,60,46,519,543,494,530,494,544
3786,Snohomish,31002.0,Everett School District,1907.0,Port Gardner,A,12th Grade,14,6,0,8,0,0,0,2,0,0,12,1,0,0,0,1,0,0,1,0,0,13,14,14,14,13,14
3800,Snohomish,31002.0,Everett School District,4137.0,Sequoia High School,A,12th Grade,75,45,0,30,0,3,4,20,1,9,38,5,0,0,18,34,2,0,18,2,12,70,74,75,57,41,73
3820,Snohomish,31002.0,Everett School District,3903.0,Special Services,S,12th Grade,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3852,Clark,6114.0,Evergreen School District (Clark),1646.0,49th Street Academy,S,12th Grade,65,19,0,46,2,9,7,8,0,4,35,6,0,0,0,33,0,0,0,0,65,59,65,65,65,32,65
3919,Clark,6114.0,Evergreen School District (Clark),2724.0,Evergreen High School,P,12th Grade,438,233,1,204,3,23,9,102,14,33,254,33,0,19,33,245,0,0,25,21,63,405,436,419,405,193,438
3960,Clark,6114.0,Evergreen School District (Clark),5310.0,Henrietta Lacks Health and Bioscience High School,P,12th Grade,133,76,0,57,1,12,1,16,2,10,91,6,0,12,1,52,0,0,4,9,6,127,133,121,132,81,133
3965,Clark,6114.0,Evergreen School District (Clark),4523.0,Heritage High School,P,12th Grade,468,242,1,225,5,19,11,114,14,18,287,35,0,14,32,258,0,1,23,21,65,433,465,454,436,210,468
3996,Clark,6114.0,Evergreen School District (Clark),4042.0,Legacy High School,A,12th Grade,84,43,0,41,1,1,3,16,1,4,58,3,0,0,13,44,0,0,19,9,16,81,84,84,71,40,84
4018,Clark,6114.0,Evergreen School District (Clark),4162.0,Mountain View High School,P,12th Grade,509,233,0,276,5,43,19,133,4,44,261,35,0,39,15,206,3,1,13,21,61,474,508,470,494,303,506
4022,Clark,6114.0,Evergreen School District (Clark),5435.0,Open Doors Evergreen,R,12th Grade,14,6,0,8,0,0,1,1,0,3,9,0,0,0,1,6,0,0,2,3,1,14,14,14,13,8,14
4081,Clark,6114.0,Evergreen School District (Clark),5111.0,Union High School,P,12th Grade,503,249,0,254,0,55,15,71,5,31,326,13,0,43,10,134,0,1,10,15,61,490,502,460,493,369,503
4137,King,17210.0,Federal Way School District,5163.0,Career Academy at Truman High School,A,12th Grade,30,17,0,13,0,1,4,10,3,3,9,2,0,0,3,22,0,0,6,0,3,28,30,30,27,8,30
4142,King,17210.0,Federal Way School District,3766.0,Decatur High School,P,12th Grade,339,160,0,179,1,38,47,81,17,32,123,30,0,26,7,173,1,4,20,20,48,309,339,313,332,166,338
4147,King,17210.0,Federal Way School District,1950.0,Employment Transition Program,S,12th Grade,41,16,0,25,0,5,9,7,1,1,18,4,0,0,0,26,0,0,3,0,41,37,41,41,41,15,41
4159,King,17210.0,Federal Way School District,2417.0,Federal Way High School,P,12th Grade,372,196,0,176,2,44,77,118,31,28,72,43,0,25,8,231,1,5,11,3,49,329,370,347,364,141,371
4173,King,17210.0,Federal Way School District,5107.0,Federal Way Running Start Home School,P,12th Grade,12,6,0,6,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12
4176,King,17210.0,Federal Way School District,5255.0,Gateway to College,Z,12th Grade,30,17,0,13,0,1,4,15,2,3,5,1,0,0,0,13,0,0,2,1,0,29,30,30,30,17,30
4192,King,17210.0,Federal Way School District,1759.0,Internet Academy,5,12th Grade,60,33,0,27,1,2,3,13,1,5,35,0,0,0,1,17,0,0,17,0,1,60,60,60,59,43,60
4273,King,17210.0,Federal Way School District,5348.0,Open Doors Youth Reengagement (1418),R,12th Grade,258,129,0,129,4,9,57,87,17,29,55,38,0,0,22,152,0,1,75,9,39,220,257,258,236,106,258
4329,King,17210.0,Federal Way School District,1951.0,Support School,P,12th Grade,4,1,0,3,0,0,2,1,0,0,1,0,0,0,0,2,0,0,1,0,4,4,4,4,4,2,4
4344,King,17210.0,Federal Way School District,5473.0,Technology Access Foundation Academy at Saghalie,P,12th Grade,30,12,1,17,0,6,1,10,1,2,10,0,0,2,1,14,0,0,0,1,1,30,30,28,29,16,30
4352,King,17210.0,Federal Way School District,3584.0,Thomas Jefferson High School,P,12th Grade,455,229,0,226,0,99,66,116,11,43,120,62,0,55,9,247,0,2,7,6,46,393,452,400,446,208,455
4357,King,17210.0,Federal Way School District,4570.0,Todd Beamer High School,P,12th Grade,372,191,0,181,2,65,47,82,16,39,121,38,0,17,7,191,0,2,14,18,49,334,371,355,365,181,372
4436,Whatcom,37502.0,Ferndale School District,2488.0,Ferndale High School,P,12th Grade,380,192,0,188,20,20,0,72,0,24,244,11,0,201,7,144,6,4,16,13,57,369,379,179,373,236,374
4452,Whatcom,37502.0,Ferndale School District,5464.0,FERNDALE RE-ENGAGEMENT,R,12th Grade,22,9,0,13,5,0,0,7,0,2,8,0,0,0,0,10,0,0,13,0,0,22,20,22,22,12,22
4474,Whatcom,37502.0,Ferndale School District,5245.0,WINDWARD HIGH SCHOOL,P,12th Grade,8,3,0,5,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,8,8,8,8,7,8
4492,Pierce,27417.0,Fife School District,2773.0,Fife High School,P,12th Grade,275,128,0,147,2,22,13,55,16,28,139,26,0,22,10,125,0,0,12,7,32,249,275,253,265,150,275
4516,Benton,3053.0,Finley School District,2367.0,River View High School,P,12th Grade,81,28,0,53,0,0,0,39,0,2,40,10,0,2,2,65,5,0,9,0,14,71,81,79,79,16,76
4560,Pierce,27402.0,Franklin Pierce School District,2876.0,Franklin Pierce High School,P,12th Grade,247,117,0,130,0,22,16,53,12,22,122,13,0,113,6,148,0,1,10,8,31,234,246,134,241,99,247
4565,Pierce,27402.0,Franklin Pierce School District,4063.0,Gates Secondary School,A,12th Grade,61,31,0,30,0,0,5,13,8,11,24,2,0,0,10,53,0,3,19,6,4,59,60,61,51,8,61
4600,Pierce,27402.0,Franklin Pierce School District,3648.0,Washington High School,P,12th Grade,235,120,0,115,4,9,25,61,27,24,85,11,0,111,14,191,0,4,13,7,35,224,234,124,221,44,235
4613,Spokane,32358.0,Freeman School District,3192.0,Freeman High School,P,12th Grade,73,46,0,27,0,0,1,8,0,0,64,0,0,0,0,9,0,0,2,5,1,73,73,73,73,64,73
4623,Whitman,38302.0,Garfield School District,1962.0,Garfield at Palouse High School,P,12th Grade,10,4,0,6,0,0,0,2,0,0,8,0,0,0,0,2,0,0,0,2,1,10,10,10,10,8,10
4648,Klickitat,20401.0,Glenwood School District,3048.0,Glenwood Secondary,P,12th Grade,3,1,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,3,3,3,3,1,3
4655,Klickitat,20404.0,Goldendale School District,2856.0,Goldendale High School,P,12th Grade,65,30,0,35,4,0,1,10,0,1,49,1,0,6,2,32,3,0,4,7,6,64,65,59,63,33,62
4674,Grant,13301.0,Grand Coulee Dam School District,5336.0,Lake Roosevelt Alternative School,A,12th Grade,11,4,0,7,7,0,0,0,0,1,3,0,0,0,2,7,0,0,6,0,2,11,11,11,9,4,11
4687,Grant,13301.0,Grand Coulee Dam School District,2801.0,Lake Roosevelt Jr/Sr High School,P,12th Grade,49,24,0,25,24,0,0,3,0,10,12,3,0,3,2,33,8,0,2,0,8,46,49,46,47,16,41
4694,Yakima,39200.0,Grandview School District,1776.0,Contract Learning Center,A,12th Grade,6,4,0,2,0,0,0,3,0,0,3,1,0,0,4,4,0,0,2,0,0,5,6,6,2,2,6
4699,Yakima,39200.0,Grandview School District,2555.0,Grandview High School,P,12th Grade,193,100,0,93,0,1,1,172,0,0,19,26,0,0,7,155,20,0,8,4,14,167,192,193,186,38,173
4723,Yakima,39200.0,Grandview School District,5399.0,Step to College Open Doors High School,R,12th Grade,18,11,0,7,0,0,0,18,0,0,0,1,0,0,0,13,1,0,9,0,0,17,18,18,18,5,17
4735,Yakima,39204.0,Granger School District,3314.0,Granger High School,P,12th Grade,108,54,0,54,2,0,0,101,0,0,5,23,0,2,6,87,29,0,4,0,12,85,108,106,102,21,79
4752,Snohomish,31332.0,Granite Falls School District,5171.0,Crossroads High School,A,12th Grade,72,32,0,40,0,0,0,14,2,4,52,4,0,1,27,45,0,0,4,9,17,68,69,71,45,27,72
4757,Snohomish,31332.0,Granite Falls School District,2580.0,Granite Falls High School,P,12th Grade,117,59,0,58,0,0,2,11,0,8,96,2,0,6,13,38,0,1,10,2,16,115,117,111,104,79,117
4765,Snohomish,31332.0,Granite Falls School District,5349.0,Granite Falls Open Doors,R,12th Grade,63,36,0,27,2,1,2,7,1,4,46,1,0,0,25,47,0,0,18,4,11,62,62,63,38,16,63
4832,Lincoln,22204.0,Harrington School District,3113.0,Harrington High School,P,12th Grade,9,3,0,6,0,1,0,2,0,0,6,0,0,0,2,2,0,0,1,0,1,9,9,9,7,7,9
4839,Yakima,39203.0,Highland School District,4559.0,Highland High School,P,12th Grade,94,46,0,48,1,0,0,62,0,1,30,10,0,5,5,69,7,1,1,3,7,84,92,89,89,25,87
4866,King,17401.0,Highline School District,5028.0,Big Picture School,A,12th Grade,32,13,0,19,0,1,1,16,0,2,12,0,0,0,0,21,0,0,1,0,10,32,31,32,32,11,32
4896,King,17401.0,Highline School District,1539.0,CHOICE Academy,A,12th Grade,24,14,0,10,0,1,0,5,0,4,14,1,0,1,1,8,0,0,1,5,6,23,24,23,23,16,24
4911,King,17401.0,Highline School District,3099.0,Evergreen High School,P,12th Grade,247,123,0,124,2,67,33,96,8,15,26,61,0,1,18,178,2,0,14,4,64,186,246,246,229,69,245
4934,King,17401.0,Highline School District,2325.0,Highline High School,P,12th Grade,298,144,0,154,4,61,15,132,10,21,55,53,0,28,12,192,0,0,31,11,40,245,296,270,286,106,298
4938,King,17401.0,Highline School District,5371.0,Highline Home School Center,A,12th Grade,6,3,0,3,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,6,6,6,6,6,6
4942,King,17401.0,Highline School District,5370.0,Highline Open Doors 1418,R,12th Grade,287,152,0,135,4,19,44,121,5,23,71,53,0,1,7,97,0,0,80,13,23,234,283,286,280,190,287
4988,King,17401.0,Highline School District,3279.0,Mount Rainier High School,P,12th Grade,403,198,0,205,2,64,53,103,13,29,139,40,0,24,17,220,0,0,27,21,56,363,402,379,386,183,403
5002,King,17401.0,Highline School District,1972.0,New Start,A,12th Grade,58,24,0,34,1,3,9,29,4,3,9,15,0,0,6,45,0,0,16,2,14,43,57,58,52,13,58
5025,King,17401.0,Highline School District,5172.0,Puget Sound High School,A,12th Grade,31,8,0,23,0,2,1,16,1,2,9,5,0,0,2,23,0,0,3,2,8,26,30,31,29,8,31
5029,King,17401.0,Highline School District,3553.0,Raisbeck Aviation High School,A,12th Grade,99,40,0,59,0,20,7,5,0,4,63,0,0,20,1,14,0,0,0,11,2,99,99,79,98,85,99
5062,King,17401.0,Highline School District,3483.0,Tyee High School,P,12th Grade,254,123,0,131,3,38,48,109,14,9,33,74,0,1,29,193,1,0,32,4,47,180,254,253,225,61,253
5086,Clark,6098.0,Hockinson School District,4568.0,Hockinson High School,P,12th Grade,152,66,0,86,1,2,0,8,0,1,140,1,0,19,1,21,0,2,2,6,6,151,152,133,151,131,152
5114,Grays Harbor,14028.0,Hoquiam School District,3622.0,Hoquiam High School,P,12th Grade,112,51,0,61,6,2,1,16,0,3,84,0,0,5,12,57,0,0,7,5,14,112,112,107,100,55,112
5119,Grays Harbor,14028.0,Hoquiam School District,5191.0,Hoquiam Homelink School,P,12th Grade,27,15,0,12,0,0,0,4,0,2,21,1,0,1,1,19,0,0,11,1,5,26,27,26,26,8,27
5149,Ferry,10070.0,Inchelium School District,2603.0,Inchelium High School,P,12th Grade,17,8,0,9,14,1,0,0,0,2,0,4,0,0,0,13,0,0,4,1,3,13,17,17,17,4,17
5234,King,17411.0,Issaquah School District,3569.0,Echo Glen School,I,12th Grade,9,7,0,2,0,0,2,4,0,1,2,0,0,0,0,9,0,0,6,0,3,9,8,9,9,0,9
5247,King,17411.0,Issaquah School District,5437.0,Gibson Ek High School,P,12th Grade,18,9,0,9,1,4,0,0,0,1,12,0,0,0,0,0,0,0,1,2,4,18,18,18,18,18,18
5260,King,17411.0,Issaquah School District,3385.0,Issaquah High School,P,12th Grade,599,279,0,320,3,154,10,45,3,32,352,18,0,14,3,51,0,3,9,59,49,581,599,585,596,548,599
5268,King,17411.0,Issaquah School District,1624.0,Issaquah Special Services,S,12th Grade,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,2,1,2,2,0,2
5287,King,17411.0,Issaquah School District,3962.0,Liberty Sr High School,P,12th Grade,328,152,0,176,0,66,5,40,0,12,205,8,0,11,2,27,0,2,6,31,35,320,328,317,326,301,328
5319,King,17411.0,Issaquah School District,4495.0,Skyline High School,P,12th Grade,516,233,0,283,0,157,13,45,1,21,279,8,0,19,2,21,0,1,8,51,36,508,515,497,514,495,516
5339,Franklin,11056.0,Kahlotus School District,3214.0,Kahlotus Elem & High,P,12th Grade,3,1,0,2,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,3,3,3,2,1,3
5361,Cowlitz,8402.0,Kalama School District,5545.0,Kalama High School,P,12th Grade,79,32,0,47,1,0,3,5,0,4,66,0,0,0,2,25,0,0,6,4,11,79,79,79,77,54,79
5421,Cowlitz,8458.0,Kelso School District,5547.0,Kelso Goal Oriented Learning Design,R,12th Grade,5,3,0,2,0,0,0,1,0,0,4,0,0,0,0,2,0,0,2,0,0,5,4,5,5,3,5
5425,Cowlitz,8458.0,Kelso School District,2266.0,Kelso High School,P,12th Grade,443,206,0,237,10,6,1,66,1,37,322,15,0,25,21,228,2,0,34,18,45,428,442,418,422,215,441
5431,Cowlitz,8458.0,Kelso School District,5194.0,Kelso Virtual Academy,P,12th Grade,6,4,0,2,0,0,0,1,1,0,4,0,0,0,0,5,0,0,1,1,0,6,6,6,6,1,6
5436,Cowlitz,8458.0,Kelso School District,1934.0,Loowit High School,A,12th Grade,13,7,0,6,0,0,0,1,0,0,12,2,0,0,3,9,0,0,4,2,1,11,13,13,10,4,13
5474,Benton,3017.0,Kennewick School District,4007.0,Benton/Franklin Juvenile Justice Center,J,12th Grade,8,1,0,7,0,0,3,3,0,0,2,0,0,0,0,7,0,0,7,0,1,8,7,8,8,1,8
5548,Benton,3017.0,Kennewick School District,3731.0,Kamiakin High School,P,12th Grade,440,207,1,232,2,9,22,130,1,6,270,17,0,0,2,157,43,1,27,12,41,423,440,440,438,283,397
5556,Benton,3017.0,Kennewick School District,2826.0,Kennewick High School,P,12th Grade,367,166,0,201,4,11,8,180,1,11,152,47,0,0,11,246,77,0,18,7,40,320,367,367,356,121,290
5561,Benton,3017.0,Kennewick School District,1884.0,Legacy High School,A,12th Grade,102,50,0,52,3,1,1,37,1,4,55,3,0,0,6,64,10,0,37,5,4,99,100,102,96,38,92
5575,Benton,3017.0,Kennewick School District,1941.0,Mid-Columbia Parent Partnership,A,12th Grade,20,10,0,10,0,0,0,1,0,0,19,0,0,0,0,6,0,0,1,2,1,20,20,20,20,14,20
5594,Benton,3017.0,Kennewick School District,5106.0,Phoenix High School,A,12th Grade,23,12,1,10,1,0,0,9,0,0,13,3,0,0,3,18,2,0,2,4,4,20,22,23,20,5,21
5622,Benton,3017.0,Kennewick School District,4484.0,Southridge High School,P,12th Grade,415,200,0,215,1,7,12,135,0,17,243,33,0,0,8,193,51,1,24,9,47,382,414,415,407,222,364
5634,Benton,3017.0,Kennewick School District,4118.0,Tri-Tech Skills Center,V,12th Grade,329,171,1,157,0,5,110,77,0,7,130,0,0,0,0,101,24,0,44,0,0,329,327,329,329,228,305
5763,King,17415.0,Kent School District,5275.0,Individualized Graduation & Degree Program,R,12th Grade,273,132,0,141,2,18,46,82,12,22,91,23,0,0,6,143,1,1,116,12,28,250,272,273,267,130,272
5776,King,17415.0,Kent School District,2797.0,Kent-Meridian High School,P,12th Grade,457,237,0,220,0,107,92,131,20,24,83,100,0,16,7,317,2,0,26,11,43,357,457,441,450,140,455
5790,King,17415.0,Kent School District,3014.0,Kent Mountain View Academy,A,12th Grade,36,13,0,23,0,6,2,6,0,4,18,1,0,1,0,16,0,0,6,6,0,35,36,35,36,20,36
5801,King,17415.0,Kent School District,5098.0,Kent Phoenix Academy,A,12th Grade,122,61,0,61,1,8,21,34,4,15,39,3,0,0,8,69,0,0,29,17,15,119,122,122,114,53,122
5806,King,17415.0,Kent School District,4492.0,Kentlake High School,P,12th Grade,372,173,0,199,4,37,30,64,5,28,204,30,0,19,4,132,3,0,17,19,38,342,371,353,368,240,369
5811,King,17415.0,Kent School District,3640.0,Kentridge High School,P,12th Grade,527,260,0,267,0,162,47,63,11,55,189,31,0,50,5,159,0,1,21,38,38,496,522,477,522,368,527
5816,King,17415.0,Kent School District,4128.0,Kentwood High School,P,12th Grade,461,217,0,244,6,117,44,82,9,35,168,20,0,54,9,188,1,1,13,26,38,441,461,407,452,273,460
5914,King,17415.0,Kent School District,1807.0,Regional Justice Center,A,12th Grade,18,0,0,18,0,0,6,8,1,1,2,0,0,0,0,13,0,0,11,0,2,18,18,18,18,5,18
5968,King,17415.0,Kent School District,5440.0,The Outreach Program,S,12th Grade,90,20,0,70,0,15,16,10,2,11,36,8,0,0,4,67,0,0,7,0,90,82,90,90,86,23,90
5972,Stevens,33212.0,Kettle Falls School District,5180.0,Columbia Virtual Academy - Kettle Falls,5,12th Grade,57,26,0,31,0,1,0,13,0,3,40,0,0,0,1,21,0,0,14,2,6,57,56,57,56,36,57
5986,Stevens,33212.0,Kettle Falls School District,4206.0,Kettle Falls High School,P,12th Grade,48,22,0,26,3,0,0,1,0,0,44,0,0,6,5,25,0,1,2,8,7,48,48,42,43,23,48
5996,Benton,3052.0,Kiona-Benton City School District,2904.0,Kiona-Benton City High School,P,12th Grade,110,54,0,56,0,0,1,45,0,2,62,18,0,1,7,73,25,0,6,5,18,92,110,109,103,37,85
6028,Kittitas,19403.0,Kittitas School District,2766.0,Kittitas High School,P,12th Grade,45,22,0,23,0,0,0,10,0,0,35,1,0,0,7,17,2,0,2,0,5,44,45,45,38,28,43
6040,Klickitat,20402.0,Klickitat School District,3494.0,Klickitat Elem & High,P,12th Grade,7,3,0,4,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,7,7,7,7,4,7
6062,Clark,6101.0,La Center School District,4431.0,La Center High School,P,12th Grade,132,64,0,68,2,0,1,7,0,3,119,0,0,6,1,19,1,0,7,11,16,132,131,126,131,113,131
6067,Clark,6101.0,La Center School District,5326.0,La Center Home School Academy,A,12th Grade,7,4,0,3,0,0,0,0,0,0,7,0,0,0,1,1,0,0,2,1,0,7,7,7,6,6,7
6088,Skagit,29311.0,La Conner School District,2276.0,La Conner High School,P,12th Grade,42,20,0,22,13,1,0,6,0,1,21,1,0,1,0,21,8,2,5,4,5,41,42,41,42,21,34
6105,Whitman,38126.0,LaCrosse School District,2088.0,Lacrosse High School,P,12th Grade,5,3,0,2,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,1,5,5,5,5,3,5
6113,Chelan,4129.0,Lake Chelan School District,4260.0,Chelan High School,P,12th Grade,118,46,0,72,0,0,1,59,0,2,56,8,0,0,6,70,9,1,1,8,7,110,118,118,112,48,109
6122,Chelan,4129.0,Lake Chelan School District,1940.0,Chelan School of Innovation,A,12th Grade,11,3,0,8,0,0,0,4,0,0,7,2,0,0,0,11,0,0,1,0,2,9,11,11,11,0,11
6137,Grays Harbor,14097.0,Lake Quinault School District,2921.0,Lake Quinault School,P,12th Grade,8,5,0,3,3,0,0,2,0,0,3,0,0,1,1,8,0,0,0,0,1,8,8,7,7,0,8
6178,Snohomish,31004.0,Lake Stevens School District,1753.0,Homelink,A,12th Grade,5,3,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,5,5,5,5,4,5
6195,Snohomish,31004.0,Lake Stevens School District,2426.0,Lake Stevens Sr High School,P,12th Grade,686,314,1,371,4,35,12,86,3,48,498,10,0,42,10,160,0,7,17,69,117,676,686,644,676,526,686
6229,King,17937.0,Lake Washington Institute of Technology,5953.0,Lake Washington Technical Academy,5,12th Grade,230,81,0,149,0,6,3,34,0,10,177,0,0,0,0,0,0,3,39,0,0,230,230,230,230,230,230
6232,King,17937.0,Lake Washington Institute of Technology,5306.0,Open Doors at LWIT,R,12th Grade,442,212,0,230,6,37,28,66,6,19,280,0,0,0,5,0,1,16,51,0,0,442,440,442,437,442,441
6297,King,17414.0,Lake Washington School District,1649.0,Contractual Schools,A,12th Grade,5,2,0,3,0,2,0,1,0,0,2,0,0,0,0,1,0,0,2,0,5,5,5,5,5,4,5
6316,King,17414.0,Lake Washington School District,4439.0,Eastlake High School,P,12th Grade,423,214,0,209,1,65,7,32,2,27,289,5,0,16,2,17,0,0,12,59,39,418,423,407,421,406,423
6335,King,17414.0,Lake Washington School District,3855.0,Emerson High School,A,12th Grade,20,9,0,11,0,1,0,4,0,1,14,0,0,0,0,6,0,0,7,4,10,20,20,20,20,14,20
6340,King,17414.0,Lake Washington School District,1688.0,Emerson K-12,A,12th Grade,7,6,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7
6379,King,17414.0,Lake Washington School District,1804.0,Futures School,A,12th Grade,29,15,0,14,0,2,2,8,0,1,16,1,0,0,2,8,0,0,0,0,6,28,29,29,27,21,29
6411,King,17414.0,Lake Washington School District,1706.0,International Community School,A,12th Grade,37,27,0,10,0,16,0,5,0,2,14,0,0,11,0,0,0,0,0,4,1,37,37,26,37,37,37
6443,King,17414.0,Lake Washington School District,3771.0,Juanita High School,P,12th Grade,329,166,0,163,0,65,6,49,2,26,181,11,0,13,5,72,0,0,7,24,34,318,329,316,324,257,329
6456,King,17414.0,Lake Washington School District,2739.0,Lake Washington High School,P,12th Grade,425,197,0,228,1,52,12,49,0,28,283,16,0,20,3,64,0,1,28,41,40,409,423,405,422,361,425
6501,King,17414.0,Lake Washington School District,5265.0,Nikola Tesla STEM High School,A,12th Grade,132,57,0,75,0,63,0,5,0,6,58,0,0,41,0,2,0,0,0,18,5,132,132,91,132,130,132
6545,King,17414.0,Lake Washington School District,3528.0,Redmond High School,P,12th Grade,464,230,0,234,0,97,14,53,2,43,255,12,0,40,5,54,0,0,9,68,35,452,463,424,459,410,464
6596,King,17414.0,Lake Washington School District,5958.0,Washington Network for Innovative Careers Skill Center,V,12th Grade,204,99,0,105,0,44,3,36,0,11,110,0,0,0,0,10,0,0,10,0,0,204,204,204,204,194,204
6623,Snohomish,31306.0,Lakewood School District,4204.0,Lakewood High School,P,12th Grade,169,83,0,86,1,3,8,26,1,14,116,2,0,6,12,54,0,3,12,10,17,167,169,163,157,115,169
6637,Spokane,32362.0,Liberty School District,3416.0,Liberty High School,P,12th Grade,48,25,0,23,1,0,0,4,0,2,41,0,0,2,0,20,1,1,2,4,5,48,48,46,48,28,47
6653,Adams,1158.0,Lind School District,2903.0,Lind-Ritzville High School,P,12th Grade,10,5,0,5,0,2,0,3,0,0,5,0,0,0,2,6,1,0,0,1,0,10,10,10,8,4,9
6693,Cowlitz,8122.0,Longview School District,5312.0,Discovery High School,A,12th Grade,65,36,0,29,0,0,1,19,1,5,39,2,0,1,2,46,0,1,14,3,2,63,64,64,63,19,65
6697,Cowlitz,8122.0,Longview School District,5400.0,Discovery High School-Achieve,R,12th Grade,22,11,0,11,0,0,0,9,2,1,10,1,0,0,0,20,1,0,10,0,2,21,22,22,22,2,21
6710,Cowlitz,8122.0,Longview School District,3151.0,Mark Morris High School,P,12th Grade,211,108,0,103,1,7,0,34,0,19,150,7,0,23,13,78,1,1,10,2,27,204,211,188,198,133,210
6745,Cowlitz,8122.0,Longview School District,2416.0,R A Long High School,P,12th Grade,215,100,0,115,3,11,1,35,4,8,153,8,0,20,13,107,0,0,9,2,45,207,214,195,202,108,215
